date,fond,amount,compte_crediteur,bic,transactor,adresse,type,communication,solde
"17-10-2022","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","2.851,30"
"31-10-2022","BE64523081419552","1,00","BE26379998109761","BBRUBEBB","M JULES STEMBERT","Chemin Thijs 68 7082 Halen","SCT","Contrib reserve de soutien","2.852,30"
"31-10-2022","BE64523081419552","15,00","BE81233761871399","GKCCBEBB","VAN DER HERTEN MATHIS","PLACE VERHELST 26 0224 CINEY","SCT","montant mensuel Mathis Van Der Herten","2.867,30"
"31-10-2022","BE64523081419552","20,00","BE25727513271577","NEECBEB2","Quintenps Leonard","Place Thys 55 4350 Péruwelz","SCT","","2.887,30"
"02-11-2022","BE64523081419552","12,00","BE71066571528337","BPOTBEB1","LEGUERREC NOAH","Boulevard Van Dyck 50 6299 Léau","SCT","","2.899,30"
"02-11-2022","BE64523081419552","10,00","BE64963111927873","GEBABEBB","RICHELIEU GREGORY","CHEMIN DIERCKX 37 2885 BASTOGNE","SCT","--- ..- .. / -.-. .----. . ... - / -.. ..- / -- --- .-. ... . .-.-.-","2.909,30"
"03-11-2022","BE64523081419552","15,00","BE62357732053023","GKCCBEBB","Tapage Adrien","Place Yildirim 3 6638 Roulers","SCT","adri","2.924,30"
"04-11-2022","BE64523081419552","15,00","BE09592028954970","ARSPBE22","INES GOOSSENS","Avenue Rousseau 359 6528 Ciney","SCT","Contribution INES. G oct 22","2.939,30"
"04-11-2022","BE64523081419552","20,00","BE84980456198559","KREDBEBB","DUPORTAIL MATHILDE","IMPASSE MESSAOUDI 885 9427 SERAING","SCT","AMORCE MATHILDE DUPORTAIL","2.959,30"
"07-11-2022","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","2.974,30"
"07-11-2022","BE64523081419552","20,00","BE27633989084860","KREDBEBB","DUPORTAIL MATHILDE","IMPASSE MESSAOUDI 885 9427 SERAING","SCT","AMORCE DUPORTAIL MATHILDE","2.994,30"
"08-11-2022","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","3.004,30"
"08-11-2022","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","3.014,30"
"15-11-2022","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","3.039,30"
"15-11-2022","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Novembre","3.079,30"
"15-11-2022","BE64523081419552","40,00","BE88456105010634","NEECBEB2","Capin Anthony","Chemin Luyten 9 0099 Neufchâteau","SCT","Don mensuel","3.119,30"
"29-11-2022","BE64523081419552","15,00","BE81233761871399","GKCCBEBB","VAN DER HERTEN MATHIS","PLACE VERHELST 26 0224 CINEY","SCT","montant mensuel Mathis Van Der Herten","3.134,30"
"30-11-2022","BE64523081419552","1,00","BE26379998109761","BBRUBEBB","M JULES STEMBERT","Chemin Thijs 68 7082 Halen","SCT","Contrib reserve de soutien","3.135,30"
"01-12-2022","BE64523081419552","12,00","BE71066571528337","BPOTBEB1","LEGUERREC NOAH","Boulevard Van Dyck 50 6299 Léau","SCT","","3.147,30"
"02-12-2022","BE64523081419552","10,00","BE64963111927873","GEBABEBB","RICHELIEU GREGORY","CHEMIN DIERCKX 37 2885 BASTOGNE","SCT","--- ..- .. / -.-. .----. . ... - / -.. ..- / -- --- .-. ... . .-.-.-","3.157,30"
"02-12-2022","BE64523081419552","20,00","BE73023643847628","NICABEBB","M. Leonard Quintenps","Avenue Sahin 95 9798 Genappe","SCT","fonds general","3.177,30"
"02-12-2022","BE64523081419552","12,50","BE06992080717696","CTBKBEBX","Mle LISE VERSTRAETEN","PLACE JACQUET 881 4397 VIRTON","SCT","COMPTE COURANT","3.189,80"
"05-12-2022","BE64523081419552","15,00","BE62357732053023","GKCCBEBB","Tapage Adrien","Place Yildirim 3 6638 Roulers","SCT","adri","3.204,80"
"05-12-2022","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","3.219,80"
"06-12-2022","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","3.229,80"
"06-12-2022","BE64523081419552","20,00","BE27633989084860","KREDBEBB","DUPORTAIL MATHILDE","IMPASSE MESSAOUDI 885 9427 SERAING","SCT","AMORCE DUPORTAIL MATHILDE","3.249,80"
"08-12-2022","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","3.259,80"
"15-12-2022","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","3.284,80"
"15-12-2022","BE64523081419552","40,00","BE88456105010634","NEECBEB2","Capin Anthony","Chemin Luyten 9 0099 Neufchâteau","SCT","Don mensuel","3.324,80"
"15-12-2022","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Decembre","3.364,80"
"29-12-2022","BE64523081419552","15,00","BE81233761871399","GKCCBEBB","VAN DER HERTEN MATHIS","PLACE VERHELST 26 0224 CINEY","SCT","montant mensuel Mathis Van Der Herten","3.379,80"
"01-01-2023","BE64523081419552","-9,00","","","","","ON","Frais du 01-10-2022 au 31-12-2022","3.370,80"
"02-01-2023","BE64523081419552","12,00","BE71066571528337","BPOTBEB1","LEGUERREC NOAH","Boulevard Van Dyck 50 6299 Léau","SCT","","3.382,80"
"02-01-2023","BE64523081419552","1,00","BE26379998109761","BBRUBEBB","M JULES STEMBERT","Chemin Thijs 68 7082 Halen","SCT","Contrib reserve de soutien","3.383,80"
"03-01-2023","BE64523081419552","15,00","BE62357732053023","GKCCBEBB","Tapage Adrien","Place Yildirim 3 6638 Roulers","SCT","adri","3.398,80"
"03-01-2023","BE64523081419552","8,00","BE22752511102346","GEBABEBB","BAJOT PIERRE","Chemin Maes 13 5939 Bree","SCT","","3.406,80"
"03-01-2023","BE64523081419552","10,00","BE64963111927873","GEBABEBB","RICHELIEU GREGORY","CHEMIN DIERCKX 37 2885 BASTOGNE","SCT","--- ..- .. / -.-. .----. . ... - / -.. ..- / -- --- .-. ... . .-.-.-","3.416,80"
"03-01-2023","BE64523081419552","20,00","BE73023643847628","NICABEBB","M. Leonard Quintenps","Avenue Sahin 95 9798 Genappe","SCT","fonds general","3.436,80"
"05-01-2023","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","3.451,80"
"06-01-2023","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","3.461,80"
"06-01-2023","BE64523081419552","20,00","BE27633989084860","KREDBEBB","DUPORTAIL MATHILDE","IMPASSE MESSAOUDI 885 9427 SERAING","SCT","AMORCE DUPORTAIL MATHILDE","3.481,80"
"09-01-2023","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","3.491,80"
"09-01-2023","BE64523081419552","12,50","BE06992080717696","CTBKBEBX","MLE LISE VERSTRAETEN","RUE DUBOIS 72 8657 SAINT-GHISLAIN","SCT","COMPTE COURANT","3.504,30"
"13-01-2023","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Janvier","3.544,30"
"13-01-2023","BE64523081419552","40,00","BE88456105010634","NEECBEB2","Capin Anthony","Chemin Luyten 9 0099 Neufchâteau","SCT","Don mensuel","3.584,30"
"16-01-2023","BE64523081419552","30,00","BE78503010752667","GEBABEBB","FONTAINEBLEAU AMEDEE","IMPASSE COLLIGNON 934 8553 SERAING","SCT","Don ponctuel","3.614,30"
"16-01-2023","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","3.639,30"
"17-01-2023","BE64523081419552","26,00","BE65188220196117","GEBABEBB","DEQUENNE MARIELLA","Impasse Dierckx 69 8329 Saint-Hubert","SCT","","3.665,30"
"24-01-2023","BE64523081419552","7,00","BE13396245436559","GKCCBEBB","Croquesel Yann","CHAUSSÉE SOMERS 59 3234 FLORENVILLE","SCT","tarte","3.672,30"
"30-01-2023","BE64523081419552","50,00","DE66753716466082244912","NTSBDEB1","Amelie Doppler"," ","SCT","anniv frank","3.722,30"
"30-01-2023","BE64523081419552","30,00","BE94524628137653","BBRUBEBB","MLLE OLIVIA MERCATO","BOULEVARD RENARD 818 1778 LESSINES","SCT","Anniv franck","3.752,30"
"31-01-2023","BE64523081419552","1,00","BE26379998109761","BBRUBEBB","M JULES STEMBERT","Chemin Thijs 68 7082 Halen","SCT","Contrib reserve de soutien","3.753,30"
"31-01-2023","BE64523081419552","50,00","BE94901190727585","BPOTBEB1","M. RIGOBERT LETUDIAN","CHAUSSÉE MICHIELS 13 9613 ENGHIEN","SCT","Anniv Franck","3.803,30"
"31-01-2023","BE64523081419552","20,00","BE12626529177716","BPOTBEB1","Mlle Anne-Francoise Degrave","Impasse Laurent 8 7573 Lokeren","SCT","Anniv Franck","3.823,30"
"31-01-2023","BE64523081419552","40,00","BE80158712052633","CREGBEBB","HERRMANN ACHILLE","RUE ROELS 49 4532 MONS","SCT","ANNIV FRANCK","3.863,30"
"31-01-2023","BE64523081419552","50,00","BE07998146513544","GEBABEBB","TRAPU PIERRE-JEAN","PLACE VERSCHUEREN 77 1637 LOMMEL","SCT","anniv Franck","3.913,30"
"31-01-2023","BE64523081419552","100,00","BE89692363152766","GEBABEBB","PINSON-CHARLOT","BOULEVARD LACROIX 582 3142 HOOGSTRATEN","SCT","Anniv Franck.","4.013,30"
"31-01-2023","BE64523081419552","50,00","BE81233761871399","GKCCBEBB","VAN DER HERTEN MATHIS","PLACE VERHELST 26 0224 CINEY","SCT","montant mensuel Mathis Van Der Herten","4.063,30"
"31-01-2023","BE64523081419552","100,00","FR51953825953188LD00YX0RG39","CCBPFRPPMTG","M JONAS FERRIERE","9, rue Martel 53608 Boulanger-sur-Leroux","SCT","Anniv Franck","4.163,30"
"31-01-2023","BE64523081419552","100,00","BE38611086128803","GEBABEBB","BOIVERT MARIE-JACQUELINE","Chemin Yildirim 186 5090 Comines-Warneton","SCT","anniv Franck","4.263,30"
"01-02-2023","BE64523081419552","20,00","BE35829006245340","TRIOBEBB","Jocotan"," ","BO","Don mensuel jocotan","4.283,30"
"01-02-2023","BE64523081419552","20,00","BE25883025591886","GEBABEBB","LEBRETON YANNICK","AVENUE BAH 5 1384 VIRTON","SCT","anniv Franck","4.303,30"
"01-02-2023","BE64523081419552","400,00","BE66613589614976","GEBABEBB","WUYTS CECILE","Rue Cuvelier 601 7428 Marche-en-Famenne","SCT","Anniv de Franck","4.703,30"
"01-02-2023","BE64523081419552","10,00","BE54094670385920","GEBABEBB","PACOVIA HENRIETTE","RUE LAUWERS 961 6010 DURBUY","SCT","Chouette projet  A bientot","4.713,30"
"01-02-2023","BE64523081419552","40,00","BE42415221593955","GEBABEBB","VERHAEGHE VINCENT","PLACE VERMEULEN 90 5799 DEINZE","SCT","anniv Franck","4.753,30"
"01-02-2023","BE64523081419552","100,00","BE90978684912879","GEBABEBB","CROBARD YOLANDE","Impasse Cuvelier 24 0694 Saint-Ghislain","SCT","anniv Franck","4.853,30"
"01-02-2023","BE64523081419552","15,00","BE74536678254983","BPOTBEB1","M. Paul Segers","Impasse Noël 92 0844 Herve","SCT","anniv Franck","4.868,30"
"01-02-2023","BE64523081419552","12,00","BE71066571528337","BPOTBEB1","LEGUERREC NOAH","Boulevard Van Dyck 50 6299 Léau","SCT","","4.880,30"
"01-02-2023","BE64523081419552","17,00","BE39610009156603","GKCCBEBB","Pagotte Vanessa","Place Libert 45 4931 Comines-Warneton","SCT","Cagnotte Amorce","4.897,30"
"01-02-2023","BE64523081419552","200,00","BE43288493562199","GKCCBEBB","Petit Adrien","Rue Devos 10 4788 Oudenburg","SCT","Anniv frank","5.097,30"
"01-02-2023","BE64523081419552","50,00","BE71518191755738","GKCCBEBB","LUYTEN STEPHANIE","CHEMIN GÉRARD 614 4205 IZEGEM","SCT","Anniv Frank","5.147,30"
"01-02-2023","BE64523081419552","50,00","BE13722529010504","GKCCBEBB","Jean-Guy Petit","Impasse Antoine 9 5723 Namur","SCT","Anniv Franck","5.197,30"
"01-02-2023","BE64523081419552","50,00","BE49729326783048","GKCCBEBB","DUJARDIN CLEMENT","Impasse Piette 9 8725 Chièvres","SCT","anniv Franck","5.247,30"
"01-02-2023","BE64523081419552","10,00","BE40385406186884","GEBABEBB","CHICOT ETHAN","Chemin Verlinden 18 4761 Lo-Reninge","SCT","anniv Franck","5.257,30"
"01-02-2023","BE64523081419552","20,00","BE73503040375199","GEBABEBB","DECOSTER YVAN","Chemin Roland 9 6694 Tirlemont","SCT","anniv Franck","5.277,30"
"02-02-2023","BE64523081419552","50,00","BE56801693835361","BBRUBEBB","M LEONARD BRUXELLES","CHEMIN VAN DAMME 75 4789 MAASEIK","SCT","Anniv Franck","5.327,30"
"02-02-2023","BE64523081419552","20,00","BE79561706149400","BBRUBEBB","MLLE FELICIENNE SHEFFIELD","BOULEVARD LEJEUNE 61 8972 SAINT-VITH","SCT","Anniv Franck","5.347,30"
"02-02-2023","BE64523081419552","50,00","BE95477744705685","GEBABEBB","LEMAIRE MARCEL","Boulevard Moens 79 8803 Ostende","SCT","anniv Franck","5.397,30"
"02-02-2023","BE64523081419552","30,00","BE07998146513544","GEBABEBB","TRAPU PIERRE-JEAN","PLACE VERSCHUEREN 77 1637 LOMMEL","SCT","super initiative","5.427,30"
"02-02-2023","BE64523081419552","10,00","BE64963111927873","GEBABEBB","RICHELIEU GREGORY","CHEMIN DIERCKX 37 2885 BASTOGNE","SCT","--- ..- .. / -.-. .----. . ... - / -.. ..- / -- --- .-. ... . .-.-.-","5.437,30"
"02-02-2023","BE64523081419552","75,00","BE82213890008091","GEBABEBB","THIRY MELANIE","Boulevard Ceulemans 14 5634 Bruges","SCT","anniv Franck","5.512,30"
"02-02-2023","BE64523081419552","20,00","BE91786725419217","GKCCBEBB","UNTERGEGENBERGER SEBASTIAN","IMPASSE MAHIEU 8 6514 NAMUR","SCT","Anniv Frank","5.532,30"
"02-02-2023","BE64523081419552","20,00","BE32684736339545","GKCCBEBB","Jambon Steve","Impasse Goethals 10 9805 Mouscron","SCT","anniv Franck","5.552,30"
"02-02-2023","BE64523081419552","50,00","BE97263254398295","GEBABEBB","PREVERT NICOLAS","PLACE LEFEBVRE 38 3528 HALEN","SCT","anniv franck","5.602,30"
"02-02-2023","BE64523081419552","10,00","BE91941908348963","BPOTBEB1","axelle dumont","BOULEVARD SOMERS 78 8759 BLANKENBERGE","SCT","pouetpouetl'amorce","5.612,30"
"02-02-2023","BE64523081419552","30,00","FR7452696697659Z5GG9G0VD703","CCOPFRPP","MME BEAUREGARD ARMANDE","48, place Éléonore Cousin 61801 Fernandez","SCT","ANNIV FRANCK","5.642,30"
"02-02-2023","BE64523081419552","20,00","BE71584052575663","ARSPBE22","LORE SCHMIRZ","BOULEVARD CHRISTIAENS 27 4890 LO-RENINGE","SCT","anniv franck","5.662,30"
"02-02-2023","BE64523081419552","20,00","BE73023643847628","NICABEBB","M. Leonard Quintenps","Avenue Sahin 95 9798 Genappe","SCT","fonds general","5.682,30"
"02-02-2023","BE64523081419552","15,00","BE35929751282256","BBRUBEBB","MME JEANINE SALPETRE","Avenue André 656 1846 Fontaine-l'Évêque","SCT","Anniv Franck","5.697,30"
"02-02-2023","BE64523081419552","100,00","BE81052095928515","BBRUBEBB","M DANIEL DEMBOUR","Impasse Meunier 875 9702 Blankenberge","SCT","","5.797,30"
"03-02-2023","BE64523081419552","8,00","BE22752511102346","GEBABEBB","BAJOT PIERRE","Chemin Maes 13 5939 Bree","SCT","","5.805,30"
"03-02-2023","BE64523081419552","15,00","BE62357732053023","GKCCBEBB","Tapage Adrien","Place Yildirim 3 6638 Roulers","SCT","adri","5.820,30"
"03-02-2023","BE64523081419552","20,00","BE12678834645244","GKCCBEBB","Vauserrat Xavier","CHEMIN BOSMANS 934 5266 MORTSEL","SCT","anniv Franck - YOLO","5.840,30"
"03-02-2023","BE64523081419552","30,00","BE91018982648686","BPOTBEB1","Mlle EMMA ROSE","Rue Kaya 63 2762 Dilsen-Stokkem","SCT","Anniv de Franck","5.870,30"
"03-02-2023","BE64523081419552","100,00","BE54217626067870","BPOTBEB1","Mlle SYLVIANNE DERMEE","IMPASSE LEFÈVRE 92 9930 COURTRAI","SCT","Anniv Franck","5.970,30"
"03-02-2023","BE64523081419552","50,00","BE59266500788868","BPOTBEB1","M. JULIEN DANDRIMONT","RUE THIRY 34 5561 WERVIK","SCT","Anniv FRANCK, merci","6.020,30"
"03-02-2023","BE64523081419552","50,00","BE58332095963350","GEBABEBB","COLLIN ESTELLE","Chemin Denis 91 9773 Verviers","SCT","Anniv Frankc","6.070,30"
"03-02-2023","BE64523081419552","200,00","BE98707965472139","ARSPBE22","MAXIME THYS","IMPASSE VANDENBERGHE 30 6813 VISÉ","SCT","anniv Franck","6.270,30"
"03-02-2023","BE64523081419552","70,00","BE45812879268339","NICABEBB","Mme Laura Lamartine","BOULEVARD SAIDI 84 4845 BEAURAING","SCT","anniv FRANCK","6.340,30"
"03-02-2023","BE64523081419552","10,00","BE15901558733524","ARSPBE22","DELPHINE MEURICE","Rue De Smet 31 5704 Liège","SCT","anniv Franck","6.350,30"
"06-02-2023","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","6.365,30"
"06-02-2023","BE64523081419552","40,00","BE20441185411788","GEBABEBB","WARSAGE SABINE","Place Coppens 76 3714 Harelbeke","SCT","Anniv Franck","6.405,30"
"06-02-2023","BE64523081419552","10,00","BE27504564025934","ARSPBE22","ALFREDO PORTO DI ARAGON","CHEMIN LAUWERS 291 7378 MALINES","SCT","soutien amorce","6.415,30"
"06-02-2023","BE64523081419552","50,00","BE61754209428278","GEBABEBB","WAFFELMAN MICHIEL","IMPASSE LENAERTS 55 2463 LE RŒULX","SCT","anniv Franck","6.465,30"
"06-02-2023","BE64523081419552","100,00","IT55D809367125904428H0C193N","CCRTIT2TRIT","ABKHAD WILL","Via Lombardi 3 28647 San Anselmo","SCT","Anniv Franck","6.565,30"
"06-02-2023","BE64523081419552","100,00","LT631618099593981397","REVOLT21","Mathis Van Der Herten","38 DORA GATVĖ LT-69356 MARIJAMPOLĖ","SCT","Anniv franck","6.665,30"
"06-02-2023","BE64523081419552","20,00","BE27633989084860","KREDBEBB","DUPORTAIL MATHILDE","IMPASSE MESSAOUDI 885 9427 SERAING","SCT","AMORCE DUPORTAIL MATHILDE","6.685,30"
"07-02-2023","BE64523081419552","30,00","BE11849885520798","GEBABEBB","DEBEUKELAER TRISTAN","CHEMIN CORNET 82 3799 MENIN","SCT","Anniv Franck","6.715,30"
"07-02-2023","BE64523081419552","153,00","BE46106361869881","GEBABEBB","HEYLEN RANIA","IMPASSE NOËL 39 4802 HERVE","SCT","anniv Franck","6.868,30"
"07-02-2023","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","6.878,30"
"07-02-2023","BE64523081419552","100,00","BE80959655066902","GKCCBEBB","DURANT JACQUES","Chemin Smets 606 3778 Waremme","SCT","anniv Franck","6.978,30"
"07-02-2023","BE64523081419552","200,00","BE15031177692299","GKCCBEBB","LECLAIREUR Adam","Place Baert 860 6639 Chiny","SCT","ANNIV FRANCK","7.178,30"
"07-02-2023","BE64523081419552","12,00","BE08827097884607","GKCCBEBB","Gaspard Melodie","RUE JACQUES 99 8780 MORTSEL","SCT","Mutualisation mensuelle","7.190,30"
"07-02-2023","BE64523081419552","12,50","BE06992080717696","CTBKBEBX","MLE LISE VERSTRAETEN","IMPASSE VERHOEVEN 30 1901 HALEN","SCT","COMPTE COURANT","7.202,80"
"07-02-2023","BE64523081419552","100,00","BE66640342790865","GEBABEBB","BOULANGER MAELLE","CHEMIN BODART 1 9014 LEUZE-EN-HAINAUT","SCT","anniv franck","7.302,80"
"08-02-2023","BE64523081419552","25,00","BE60988543090543","BPOTBEB1","M. CHRISTOPHE LEBARBANT","BOULEVARD TOUSSAINT 34 0631 LO-RENINGE","SCT","Anniv Franck","7.327,80"
"08-02-2023","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","7.337,80"
"08-02-2023","BE64523081419552","40,00","BE67313710318184","GEBABEBB","VAN KAPA BENJAMIN","BOULEVARD YILMAZ 362 5600 SAINT-TROND","SCT","anniv Franck","7.377,80"
"08-02-2023","BE64523081419552","20,00","BE44878793401034","GKCCBEBB","FAGARD CALEB","IMPASSE SMETS 18 1681 TIRLEMONT","SCT","Anniv Franck","7.397,80"
"08-02-2023","BE64523081419552","50,00","BE28803756573166","GEBABEBB","MARENGO PASCAL","IMPASSE MARCHAL 5 0337 COUVIN","SCT","anniv Frankc","7.447,80"
"10-02-2023","BE64523081419552","10,00","BE21288228228310","BPOTBEB1","BODART JEAN-MARIE","Chemin Willems 174 1198 Malmedy","SCT","Don L'Amorce","7.457,80"
"10-02-2023","BE64523081419552","20,00","BE39838351703284","NICABEBB","Mlle Fleur Goethals","RUE URBAIN 73 2376 NAMUR","SCT","","7.477,80"
"10-02-2023","BE64523081419552","150,00","BE68064618240458","GEBABEBB","JOLY-LAMARCK","CHAUSSÉE HENRY 21 8134 ARLON","SCT","anniv Franck","7.627,80"
"12-02-2023","BE64523081419552","-68,86","BE73023643847628","NICABEBB","Quintenps Leonard"," ","SCTIB","remb NF","7.558,94"
"12-02-2023","BE64523081419552","-2.737,60","BE58396404483448","GEBABEBB","GBIZ5 c/o Julot"," ","SCTIB","233/0224/15250","4.821,34"
"13-02-2023","BE64523081419552","20,00","BE30980991774167","GEBABEBB","DE SMEDT LANA","BOULEVARD LEFEBVRE 85 2693 ANTOING","SCT","Communication  anniv Franck","4.841,34"
"13-02-2023","BE64523081419552","20,00","BE37007959652205","NICABEBB","M. Raphael Vandenberghe","PLACE SAHIN 73 6383 LIÈGE","SCT","VANDENBERGHE RAPHAEL - 02/2023","4.861,34"
"13-02-2023","BE64523081419552","20,00","BE37007959652205","NICABEBB","M. Raphael Vandenberghe","PLACE SAHIN 73 6383 LIÈGE","SCT","VANDENBERGHE RAPHAEL - 1ierpaiement-JANVIER2023","4.881,34"
"14-02-2023","BE64523081419552","26,00","BE65188220196117","GEBABEBB","DEQUENNE MARIELLA","Impasse Dierckx 69 8329 Saint-Hubert","SCT","","4.907,34"
"14-02-2023","BE64523081419552","200,00","BE22752511102346","GEBABEBB","BAJOT PIERRE","Chemin Maes 13 5939 Bree","SCT","anniv Franck","5.107,34"
"14-02-2023","BE64523081419552","100,00","FR3916173144815P4UZXIK06302","CMCIFRPP","Mle MICHELLE MICHEL","37, PLACE GUY BOYER 63574 HUETNEC","SCT","","5.207,34"
"15-02-2023","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","5.232,34"
"15-02-2023","BE64523081419552","40,00","BE88456105010634","NEECBEB2","Capin Anthony","Chemin Luyten 9 0099 Neufchâteau","SCT","Don mensuel","5.272,34"
"15-02-2023","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Fevrier","5.312,34"
